id	prompt	waveId	transcription	recResult	language	meaning	edition	category
7	Sag: Ich möchte mit Kreditkarte bezahlen	user-8_2014-05-11_17-57-14_utt_015	ich*v möchte*v mit*v kreditkarte*v bezahlen*v ggg can i pay by credit card	the five can i pay by credit card	1	1	ST2	A
71	Sag: Ich möchte mit Postkarte bezahlen	user-260_2014-12-17_06-50-54_utt_010	i want to pay with post card	i want pay with post card	1	1	ST2	A
72	Sag: Ich möchte mit Postkarte bezahlen	user-260_2014-12-17_06-50-54_utt_011	i would like to pay by post card	i pay with card pay by post card	1	1	ST2	A
91	Sag: Ich möchte um 20 Uhr morgen abreisen	user-283_2014-11-27_06-44-07_utt_016	i want to leave at eight o'clock tomorrow	i want to leave at eight o'clock tomorrow	1	1	ST2	A
92	Sag: Ich möchte um 20 Uhr morgen abreisen	user-283_2014-11-27_06-44-07_utt_017	i want to leave at eight o'clock tomorrow	i want to leave at eight o'clock tomorrow	1	1	ST2	A
93	Sag: Ich möchte um 20 Uhr morgen abreisen	user-283_2014-11-27_06-44-07_utt_018	i want to leave at eight o'clock tomorrow	i want to leave at eight o'clock tomorrow	1	1	ST2	A
145	Sag: Ich möchte mit Dollars bezahlen	user-270_2014-12-16_08-29-47_utt_013	i want to pay with dollars	i want to pay with dollars	1	1	ST2	A
146	Sag: Ich möchte mit Dollars bezahlen	user-270_2014-12-16_08-29-47_utt_014	i want to pay with dollars	i want to pay with dollars	1	1	ST2	A
147	Sag: Ich möchte mit Dollars bezahlen	user-270_2014-12-16_08-29-47_utt_015	can i pay with dollars	can i pay with dollars	1	1	ST2	A
153	Sag: Ich möchte am Freitagmorgen abreisen	user-270_2014-12-16_16-54-48_utt_006	i would like to leave on friday morning	i would like leave on friday morning	1	1	ST2	A
163	Sag: Ich möchte mit Kreditkarte bezahlen	user-270_2014-12-16_16-54-48_utt_020	can i pay by credit card	can i pay by credit card	1	1	ST2	A
184	Sag: Ich möchte mit Visa bezahlen	user-270_2014-12-16_16-54-48_utt_046	can i pay with visa	can i pay with visa	1	1	ST2	A
221	Sag: Ich möchte mit Mastercard bezahlen	user-280_2014-11-27_06-57-09_utt_008	can i pay with mastercard	can i pay with mastercard	1	1	ST2	A
244	Sag: Ich möchte morgen abreisen	user-281_2014-12-09_15-31-48_utt_019	i would like to leave tomorrow	i would like to leave tomorrow	1	1	ST2	A
253	Sag: Ich möchte mit Schweizer Franken bezahlen	user-281_2014-12-09_15-31-48_utt_033	i would like to pay with swiss francs	i would like to pay with swiss francs	1	1	ST2	A
256	Sag: Ich möchte morgen gehen	user-281_2014-12-09_15-31-48_utt_038	i would like to go tomorrow	i would like to go tomorrow	1	1	ST2	A
259	Sag: Ich möchte in der siebten Reihe sitzen	user-281_2014-12-09_15-31-48_utt_041	i would like to sit in the seventh row	i would like to sit in the seventh row	1	1	ST2	A
312	Sag: Ich möchte mit Postkarte bezahlen	user-289_2014-11-27_06-45-36_utt_030	i would like to pay with post card	i would like to pay with post card	1	1	ST2	A
319	Sag: Ich möchte morgen abreisen	user-282_2014-11-27_06-53-16_utt_005	i would like to leave tomorrow	i would like to leave tomorrow	1	1	ST2	A
326	Sag: Ich möchte mit Mastercard bezahlen	user-282_2014-11-27_06-53-16_utt_017	i want to pay with mastercard please	i want to pay with mastercard please	1	1	ST2	A
327	Sag: Ich möchte mit Mastercard bezahlen	user-282_2014-11-27_06-53-16_utt_018	can i pay by mastercard	can i pay by mastercard	1	1	ST2	A
330	Sag: Ich möchte um 15 Uhr morgen abreisen	user-282_2014-11-30_20-35-31_utt_003	i want to leave at three pm tomorrow	i want to leave at three pm tomorrow	1	1	ST2	A
337	Sag: Ich möchte mit Visa bezahlen	user-282_2014-11-30_20-35-31_utt_014	can i pay with visa	can i pay with visa	1	1	ST2	A
345	Sag: Ich möchte mit Mastercard bezahlen	user-282_2014-12-16_08-27-04_utt_008	can i pay by mastercard	can i pay by mastercard	1	1	ST2	A
347	Sag: Ich möchte mit Euros bezahlen	user-282_2014-12-16_08-27-04_utt_010	can i pay with euros	can i pay with euros	1	1	ST2	A
364	Sag: Ich möchte mit Mastercard bezahlen	user-23_2014-11-03_09-47-09_utt_022	i would like to pay*z by mastercard	i would like to pay by mastercard	1	1	ST2	A
382	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-10-29_13-11-30_utt_013	i want to pay with mastercard	i want to pay with mastercard	1	1	ST2	A
384	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-10-29_13-11-30_utt_015	can i pay with mastercard	can i pay with mastercard	1	1	ST2	A
406	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-33-21_utt_010	can i pay by post card	can i pay by post card	1	1	ST2	A
410	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-33-21_utt_020	can i pay with post card	can i pay with post card	1	1	ST2	A
412	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-33-21_utt_022	i would like to pay by post card	i would like pay with post card	1	1	ST2	A
418	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-33-21_utt_032	i would like to pay by credit card	i would like to pay by credit card	1	1	ST2	A
428	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-33-21_utt_050	i would like to pay by credit card	i would like to pay by credit card	1	1	ST2	A
433	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-58-17_utt_008	i would like to pay by credit card	i would like to pay by credit card	1	1	ST2	A
439	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-05_12-58-17_utt_018	i would like to pay by visa	i would like to pay by visa	1	1	ST2	A
444	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-58-17_utt_027	can i pay by post card	can i pay by post card	1	1	ST2	A
455	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-58-17_utt_043	i want to pay by credit card	i want to pay by credit card	1	1	ST2	A
456	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-58-17_utt_044	i'd like to pay by credit card	i would like to pay by credit card	1	1	ST2	A
465	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-05_12-58-17_utt_058	i'd like to pay by mastercard	i'd like to pay by mastercard	1	1	ST2	A
470	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-05_12-58-17_utt_065	i'd like to pay by visa	i'd like to pay by visa	1	1	ST2	A
471	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-05_12-58-17_utt_066	can i pay by visa	can i pay with visa	1	1	ST2	A
472	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-05_12-58-17_utt_067	i'd like to pay by visa	i would like to pay by visa	1	1	ST2	A
476	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-58-17_utt_073	i'd like to pay by post card	i would like to pay with post card	1	1	ST2	A
480	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-05_12-58-17_utt_079	can i pay by post card	can i pay by post card	1	1	ST2	A
487	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-58-17_utt_088	i'd like to pay by credit card	i'd like to pay by credit card	1	1	ST2	A
489	Sag: Ich möchte mit Euros bezahlen	user-45_2014-11-05_12-58-17_utt_090	i wish to pay with euros	i wish to pay with euro	1	1	ST2	A
490	Sag: Ich möchte mit Euros bezahlen	user-45_2014-11-05_12-58-17_utt_091	can i pay with euros	can i need to go	1	1	ST2	A
494	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-58-17_utt_100	i'd like to pay by credit card	i'd like to pay with credit card	1	1	ST2	A
495	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-58-17_utt_101	i would like to pay by credit card	i would like to pay by credit card	1	1	ST2	A
496	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-05_12-58-17_utt_102	can i pay by credit card	can i pay with credit card	1	1	ST2	A
505	Sag: Ich möchte in der siebten Reihe sitzen	user-45_2014-11-05_12-58-17_utt_114	i would like to sit in the seventh row	i would like to sit in the seven row	1	1	ST2	A
531	Sag: Ich möchte am Samstagmorgen abreisen	user-45_2014-11-06_19-16-32_utt_010	i would like to leave on saturday morning	i would like to leave on saturday morning	1	1	ST2	A
536	Sag: Ich möchte am Dienstag abreisen	user-45_2014-11-06_19-16-32_utt_017	i'd like to leave on tuesday	i'd like to leave on have tuesday	1	1	ST2	A
540	Sag: Ich möchte am Donnerstagmorgen abreisen	user-45_2014-11-06_19-16-32_utt_023	i would like to leave on thursday morning	i would like to leave on thursday morning	1	1	ST2	A
546	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-45_2014-11-06_19-16-32_utt_034	i want to leave on thursday afternoon	i want to leave on thursday afternoon	1	1	ST2	A
552	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-45_2014-11-06_19-16-32_utt_043	i want to leave on thursday afternoon	i want to leave on thursday afternoon	1	1	ST2	A
556	Sag: Ich möchte am Donnerstagnachmittag abreisen	user-45_2014-11-06_19-16-32_utt_050	i'd like to leave on thursday afternoon	i'd like to leave on thursday afternoon	1	1	ST2	A
565	Sag: Ich möchte am Freitagmorgen abreisen	user-45_2014-11-06_19-16-32_utt_068	i want to leave on friday morning	i want to leave on friday morning	1	1	ST2	A
569	Sag: Ich möchte am Montagnachmittag abreisen	user-45_2014-11-06_19-16-32_utt_074	i want to leave on monday afternoon	i want to leave on monday afternoon	1	1	ST2	A
