ID; NMOD: ADP 1; NMOD: AUX 1; NMOD: DET 1; NMOD: NOUN 1; ROOT: AUX 1; ROOT: AUX 2; ROOT: SCONJ 1; ROOT: VERB 1; ROOT: VERB 2; ROOT: VERB 3; ROOTnoun: ADJ 1; ROOTnoun: ADP 1; ROOTnoun: ADV 1; ROOTnoun: DET 1; ROOTnoun: NOUN 1; ROOTnoun: PART 1; ROOTnoun: PART 2; acl: VERB 1; advcl: ADV 1; advcl: NOUN 1; advcl: NOUN 2; advcl: PRON 1; advcl: VERB 1; advmod: ADV 1; advmod: PART 1; amod: ADJ 1; aux:pass: AUX 1; ccomp: NOUN 1; ccomp: NOUN 2; ccomp: PART 1; ccomp: PRON 1; ccomp: PRON 2; ccomp: VERB 1; ccomp: VERB 2; compound: NOUN 1; compound: PROPN 1; conj: ADV 1; conj: NOUN 1; conj: PRON 1; conj: VERB 1; cop: AUX 1; csubj: NOUN 1; csubj: VERB 1; det: DET 1; discourse: INTJ 1; expl: PRON 1; iobj: PRON 1; nsubj: NOUN 1; nsubj: PRON 1; nsubj:pass: DET 1; nsubj:pass: NOUN 1; obj: ADJ 1; obj: DET 1; obj: NOUN 1; obj: NOUN 2; obj: NUM 1; obj: PRON 1; obj: PROPN 1; obj: VERB 1; obl: ADJ 1; obl: ADP 1; obl: ADP 2; obl: ADV 1; obl: DET 1; obl: NOUN 1; obl: NOUN 2; obl: NOUN 3; obl: NUM 1; obl: PRON 1; obl: PROPN 1; obl: VERB 1; obl:npmod: NOUN 1; obl:tmod: ADJ 1; obl:tmod: DET 1; obl:tmod: NOUN 1; obl:tmod: NOUN 2; obl:tmod: NUM 1; obl:tmod: PROPN 1; parataxis: NOUN 1; parataxis: NOUN 2; parataxis: PRON 1; parataxis: PRON 2; parataxis: VERB 1
G-30; 0; 0; 0; 0; 0; 0; 0; need; go; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; on; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-50; 0; 0; 0; 0; 0; 0; 0; need; go; 0; 0; 0; 0; 0; 0; to; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; for; 0; 0; 0; 0; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-60; 0; 0; 0; 0; 0; 0; 0; need; leave; 0; 0; 0; 0; 0; 0; to; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; for; 0; 0; 0; 0; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-80; 0; 0; 0; 0; 0; 0; 0; need; leave; 0; 0; 0; 0; 0; 0; to; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; of; 0; 0; 0; 0; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-100; 0; 0; 0; 0; should; 0; 0; like; go; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; on; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-120; 0; 0; 0; 0; should; 0; 0; like; go; 0; 0; 0; 0; 0; 0; to; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; of; 0; 0; 0; 0; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-140; 0; 0; 0; 0; should; 0; 0; like; leave; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; on; 0; 0; 0; 0; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-150; 0; 0; 0; 0; should; 0; 0; like; leave; 0; 0; 0; 0; 0; 0; to; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; of; 0; 0; 0; 0; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-160; 0; 0; 0; 0; 0; 0; 0; want; go; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
G-170; 0; 0; 0; 0; 0; 0; 0; want; go; 0; 0; 0; 0; 0; 0; to; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; I; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; of; 0; 0; 0; 0; 0; 0; 0; 0; monday; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
